q,d,d,d,q,d,q,d,d,d,d,d,d,q,q,q,q,q,d,d,d,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,d,d,d,q,q,q,q,d
14774,TableScan_Select,57114,4000000,128000000,1,1,false,none,false,false,false,true,100000000,false,false,800,false,true,false,true,10,8,120,90,15,.7,.50,.2,.7,.5,1200,.50,30,40,2,1,1152,2048,1408,3,true,false,RECORD,774
383.491,5
74180,TableScan_Join,19110000,20000000,512000000,32,2,true,inial,false,true,true,true,80000000,false,false,1000,true,false,false,false,10,10,120,60,5,1.0,.65,.5,.7,.1,1600,.20,100,50,1,4,1280,1152,1152,1,true,false,RECORD,735
175904,TableScan_Join,84260100,20000000,512000000,32,2,true,inial,false,true,true,true,80000000,false,false,1000,true,false,false,false,10,10,120,60,5,1.0,.65,.5,.7,.1,1600,.20,100,50,1,4,1280,1152,1152,1,true,false,RECORD,735
32065,TableScan_Group,284147,20000000,512000000,32,2,true,inial,false,true,true,true,80000000,false,false,1000,true,false,false,false,10,10,120,60,5,1.0,.65,.5,.7,.1,1600,.20,100,50,1,4,1280,1152,1152,1,true,false,RECORD,735
33615,TableScan_Group,284147,20000000,512000000,32,2,true,inial,false,true,true,true,80000000,false,false,1000,true,false,false,false,10,10,120,60,5,1.0,.65,.5,.7,.1,1600,.20,100,50,1,4,1280,1152,1152,1,true,false,RECORD,735
19696,TableScan_Select,284147,20000000,512000000,1,2,true,inial,false,true,true,true,80000000,false,false,1000,true,false,false,false,10,10,120,60,5,1.0,.65,.5,.7,.1,1600,.20,100,50,1,4,1280,1152,1152,1,true,false,RECORD,735
212.977,4
44718,TableScan_Join,7650000,8000000,512000000,26,2,true,ore,true,false,false,true,80000000,true,true,800,false,false,false,true,12,8,100,40,10,.7,.65,.3,.7,0,1500,1.00,20,40,4,1,1024,2048,2048,4,false,false,BLOCK,1012
66494,TableScan_Join,33686779,8000000,512000000,26,2,true,ore,true,false,false,true,80000000,true,true,800,false,false,false,true,12,8,100,40,10,.7,.65,.3,.7,0,1500,1.00,20,40,4,1,1024,2048,2048,4,false,false,BLOCK,1012
29996,TableScan_Group,114051,8000000,512000000,26,2,true,ore,true,false,false,true,80000000,true,true,800,false,false,false,true,12,8,100,40,10,.7,.65,.3,.7,0,1500,1.00,20,40,4,1,1024,2048,2048,4,false,false,BLOCK,1012
19927,TableScan_Select,114051,8000000,512000000,1,2,true,ore,true,false,false,true,80000000,true,true,800,false,false,false,true,12,8,100,40,10,.7,.65,.3,.7,0,1500,1.00,20,40,4,1,1024,2048,2048,4,false,false,BLOCK,1012
237.303,5
45863,TableScan_Join,7650000,8000000,128000000,31,2,true,ore,false,false,true,false,100000000,true,true,900,true,true,true,false,10,4,130,80,5,.6,1.00,.4,.9,.4,1900,.75,100,40,3,1,1664,1536,1792,2,false,true,BLOCK,792
60765,TableScan_Join,33686779,8000000,128000000,31,2,true,ore,false,false,true,false,100000000,true,true,900,true,true,true,false,10,4,130,80,5,.6,1.00,.4,.9,.4,1900,.75,100,40,3,1,1664,1536,1792,2,false,true,BLOCK,792
34044,TableScan_Group,114051,8000000,128000000,31,2,true,ore,false,false,true,false,100000000,true,true,900,true,true,true,false,10,4,130,80,5,.6,1.00,.4,.9,.4,1900,.75,100,40,3,1,1664,1536,1792,2,false,true,BLOCK,792
