q,d,d,d,q,d,q,d,d,d,d,d,d,q,q,q,q,q,d,d,d,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,d,d,d,q,q,q,q,d
0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
367.056,10
131636,TableScan_Join,15180000,20000000,192000000,7,1,true,none,false,false,true,false,60000000,true,false,600,false,false,true,false,2,6,150,10,5,.9,.65,.3,.8,.3,800,.20,30,40,2,3,1920,1152,1664,1,false,false,RECORD,743
27007,TableScan_Join,250025,20000000,192000000,7,1,true,none,false,false,true,false,60000000,true,false,600,false,false,true,false,2,6,150,10,5,.9,.65,.3,.8,.3,800,.20,30,40,2,3,1920,1152,1664,1,false,false,RECORD,743
16138,TableScan_Join,30,20000000,192000000,7,1,true,none,false,false,true,false,60000000,true,false,600,false,false,true,false,2,6,150,10,5,.9,.65,.3,.8,.3,800,.20,30,40,2,3,1920,1152,1664,1,false,false,RECORD,743
199321,TableScan_Join,154996355,20000000,192000000,7,1,true,none,false,false,true,false,60000000,true,false,600,false,false,true,false,2,6,150,10,5,.9,.65,.3,.8,.3,800,.20,30,40,2,3,1920,1152,1664,1,false,false,RECORD,743
26764,TableScan_Join,11394871,20000000,192000000,7,1,true,none,false,false,true,false,60000000,true,false,600,false,false,true,false,2,6,150,10,5,.9,.65,.3,.8,.3,800,.20,30,40,2,3,1920,1152,1664,1,false,false,RECORD,743
18363,TableScan_Join,3267468,20000000,192000000,7,1,true,none,false,false,true,false,60000000,true,false,600,false,false,true,false,2,6,150,10,5,.9,.65,.3,.8,.3,800,.20,30,40,2,3,1920,1152,1664,1,false,false,RECORD,743
19223,TableScan_Join,310462,20000000,192000000,7,1,true,none,false,false,true,false,60000000,true,false,600,false,false,true,false,2,6,150,10,5,.9,.65,.3,.8,.3,800,.20,30,40,2,3,1920,1152,1664,1,false,false,RECORD,743
13758,TableScan_Group,14,20000000,192000000,7,1,true,none,false,false,true,false,60000000,true,false,600,false,false,true,false,2,6,150,10,5,.9,.65,.3,.8,.3,800,.20,30,40,2,3,1920,1152,1664,1,false,false,RECORD,743
14277,TableScan_Group,9,20000000,192000000,7,1,true,none,false,false,true,false,60000000,true,false,600,false,false,true,false,2,6,150,10,5,.9,.65,.3,.8,.3,800,.20,30,40,2,3,1920,1152,1664,1,false,false,RECORD,743
11645,TableScan_Select,2,20000000,192000000,1,1,true,none,false,false,true,false,60000000,true,false,600,false,false,true,false,2,6,150,10,5,.9,.65,.3,.8,.3,800,.20,30,40,2,3,1920,1152,1664,1,false,false,RECORD,743
332.764,9
111688,TableScan_Join,30999795,4000000,320000000,26,2,true,none,false,false,false,false,30000000,false,false,900,true,true,true,false,4,6,100,70,20,1.0,.85,.4,.7,.5,800,.50,80,50,1,1,1536,1536,1792,2,true,false,RECORD,984
27353,TableScan_Join,30,4000000,320000000,26,2,true,none,false,false,false,false,30000000,false,false,900,true,true,true,false,4,6,100,70,20,1.0,.85,.4,.7,.5,800,.50,80,50,1,1,1536,1536,1792,2,true,false,RECORD,984
45348,TableScan_Join,3040000,4000000,320000000,26,2,true,none,false,false,false,false,30000000,false,false,900,true,true,true,false,4,6,100,70,20,1.0,.85,.4,.7,.5,800,.50,80,50,1,1,1536,1536,1792,2,true,false,RECORD,984
25608,TableScan_Join,50025,4000000,320000000,26,2,true,none,false,false,false,false,30000000,false,false,900,true,true,true,false,4,6,100,70,20,1.0,.85,.4,.7,.5,800,.50,80,50,1,1,1536,1536,1792,2,true,false,RECORD,984
74866,TableScan_Join,2277869,4000000,320000000,26,2,true,none,false,false,false,false,30000000,false,false,900,true,true,true,false,4,6,100,70,20,1.0,.85,.4,.7,.5,800,.50,80,50,1,1,1536,1536,1792,2,true,false,RECORD,984
37421,TableScan_Join,651238,4000000,320000000,26,2,true,none,false,false,false,false,30000000,false,false,900,true,true,true,false,4,6,100,70,20,1.0,.85,.4,.7,.5,800,.50,80,50,1,1,1536,1536,1792,2,true,false,RECORD,984
36980,TableScan_Join,62152,4000000,320000000,26,2,true,none,false,false,false,false,30000000,false,false,900,true,true,true,false,4,6,100,70,20,1.0,.85,.4,.7,.5,800,.50,80,50,1,1,1536,1536,1792,2,true,false,RECORD,984
27722,TableScan_Group,52,4000000,320000000,26,2,true,none,false,false,false,false,30000000,false,false,900,true,true,true,false,4,6,100,70,20,1.0,.85,.4,.7,.5,800,.50,80,50,1,1,1536,1536,1792,2,true,false,RECORD,984
16854,TableScan_Select,2,4000000,320000000,1,2,true,none,false,false,false,false,30000000,false,false,900,true,true,true,false,4,6,100,70,20,1.0,.85,.4,.7,.5,800,.50,80,50,1,1,1536,1536,1792,2,true,false,RECORD,984
295.548,10
8500,TableScan_None,50000,4000000,448000000,0,3,false,none,false,true,true,true,100000000,false,true,700,false,false,false,false,8,12,100,100,5,.9,.70,.4,.9,.9,1100,1.00,80,60,4,4,1920,1024,1152,2,false,true,RECORD,650
6294,TableScan_None,25,4000000,448000000,0,3,false,none,false,true,true,true,100000000,false,true,700,false,false,false,false,8,12,100,100,5,.9,.70,.4,.9,.9,1100,1.00,80,60,4,4,1920,1024,1152,2,false,true,RECORD,650
16330,TableScan_None,29999795,4000000,448000000,0,3,false,none,false,true,true,true,100000000,false,true,700,false,false,false,false,8,12,100,100,5,.9,.70,.4,.9,.9,1100,1.00,80,60,4,4,1920,1024,1152,2,false,true,RECORD,650
35329,TableScan_None,2290000,4000000,448000000,0,3,false,none,false,true,true,true,100000000,false,true,700,false,false,false,false,8,12,100,100,5,.9,.70,.4,.9,.9,1100,1.00,80,60,4,4,1920,1024,1152,2,false,true,RECORD,650
15879,TableScan_None,2277864,4000000,448000000,0,3,false,none,false,true,true,true,100000000,false,true,700,false,false,false,false,8,12,100,100,5,.9,.70,.4,.9,.9,1100,1.00,80,60,4,4,1920,1024,1152,2,false,true,RECORD,650
8059,TableScan_Join,454139,4000000,448000000,0,3,false,none,false,true,true,true,100000000,false,true,700,false,false,false,false,8,12,100,100,5,.9,.70,.4,.9,.9,1100,1.00,80,60,4,4,1920,1024,1152,2,false,true,RECORD,650
7587,TableScan_Group,50000,4000000,448000000,0,3,false,none,false,true,true,true,100000000,false,true,700,false,false,false,false,8,12,100,100,5,.9,.70,.4,.9,.9,1100,1.00,80,60,4,4,1920,1024,1152,2,false,true,RECORD,650
20610,TableScan_Group,12152,4000000,448000000,25,3,false,none,false,true,true,true,100000000,false,true,700,false,false,false,false,8,12,100,100,5,.9,.70,.4,.9,.9,1100,1.00,80,60,4,4,1920,1024,1152,2,false,true,RECORD,650
27998,TableScan_Group,50,4000000,448000000,25,3,false,none,false,true,true,true,100000000,false,true,700,false,false,false,false,8,12,100,100,5,.9,.70,.4,.9,.9,1100,1.00,80,60,4,4,1920,1024,1152,2,false,true,RECORD,650
18826,TableScan_Select,2,4000000,448000000,1,3,false,none,false,true,true,true,100000000,false,true,700,false,false,false,false,8,12,100,100,5,.9,.70,.4,.9,.9,1100,1.00,80,60,4,4,1920,1024,1152,2,false,true,RECORD,650
408.235,9
82728,TableScan_Join,15180000,20000000,192000000,25,1,true,inial,false,false,false,true,80000000,true,false,900,true,true,false,false,8,4,110,90,15,1.0,.90,.2,.5,.5,1900,.35,100,40,2,2,1408,1280,1152,1,false,true,BLOCK,584
150765,TableScan_Join,154996355,20000000,192000000,25,1,true,inial,false,false,false,true,80000000,true,false,900,true,true,false,false,8,4,110,90,15,1.0,.90,.2,.5,.5,1900,.35,100,40,2,2,1408,1280,1152,1,false,true,BLOCK,584
7215,TableScan_None,250000,20000000,192000000,0,1,true,inial,false,false,false,true,80000000,true,false,900,true,true,false,false,8,4,110,90,15,1.0,.90,.2,.5,.5,1900,.35,100,40,2,2,1408,1280,1152,1,false,true,BLOCK,584
6666,TableScan_None,25,20000000,192000000,0,1,true,inial,false,false,false,true,80000000,true,false,900,true,true,false,false,8,4,110,90,15,1.0,.90,.2,.5,.5,1900,.35,100,40,2,2,1408,1280,1152,1,false,true,BLOCK,584
19600,TableScan_None,11394866,20000000,192000000,0,1,true,inial,false,false,false,true,80000000,true,false,900,true,true,false,false,8,4,110,90,15,1.0,.90,.2,.5,.5,1900,.35,100,40,2,2,1408,1280,1152,1,false,true,BLOCK,584
85174,TableScan_Join,2275933,20000000,192000000,0,1,true,inial,false,false,false,true,80000000,true,false,900,true,true,false,false,8,4,110,90,15,1.0,.90,.2,.5,.5,1900,.35,100,40,2,2,1408,1280,1152,1,false,true,BLOCK,584
8135,TableScan_Group,250000,20000000,192000000,0,1,true,inial,false,false,false,true,80000000,true,false,900,true,true,false,false,8,4,110,90,15,1.0,.90,.2,.5,.5,1900,.35,100,40,2,2,1408,1280,1152,1,false,true,BLOCK,584
20593,TableScan_Group,4,20000000,192000000,25,1,true,inial,false,false,false,true,80000000,true,false,900,true,true,false,false,8,4,110,90,15,1.0,.90,.2,.5,.5,1900,.35,100,40,2,2,1408,1280,1152,1,false,true,BLOCK,584
16735,TableScan_Select,2,20000000,192000000,1,1,true,inial,false,false,false,true,80000000,true,false,900,true,true,false,false,8,4,110,90,15,1.0,.90,.2,.5,.5,1900,.35,100,40,2,2,1408,1280,1152,1,false,true,BLOCK,584
226.229,10
55046,TableScan_Join,6080000,8000000,192000000,3,2,true,none,true,false,true,true,60000000,true,true,1000,true,true,false,false,6,4,110,80,15,.8,.65,.4,.7,.9,600,1.00,50,40,2,4,1024,1792,1024,2,true,true,BLOCK,704
8115,TableScan_None,100000,8000000,192000000,0,2,true,none,true,false,true,true,60000000,true,true,1000,true,true,false,false,6,4,110,80,15,.8,.65,.4,.7,.9,600,1.00,50,40,2,4,1024,1792,1024,2,true,true,BLOCK,704
16848,TableScan_None,59986052,8000000,192000000,0,2,true,none,true,false,true,true,60000000,true,true,1000,true,true,false,false,6,4,110,80,15,.8,.65,.4,.7,.9,600,1.00,50,40,2,4,1024,1792,1024,2,true,true,BLOCK,704
9248,TableScan_None,25,8000000,192000000,0,2,true,none,true,false,true,true,60000000,true,true,1000,true,true,false,false,6,4,110,80,15,.8,.65,.4,.7,.9,600,1.00,50,40,2,4,1024,1792,1024,2,true,true,BLOCK,704
17191,TableScan_None,4557513,8000000,192000000,0,2,true,none,true,false,true,true,60000000,true,true,1000,true,true,false,false,6,4,110,80,15,.8,.65,.4,.7,.9,600,1.00,50,40,2,4,1024,1792,1024,2,true,true,BLOCK,704
11822,TableScan_Join,910360,8000000,192000000,0,2,true,none,true,false,true,true,60000000,true,true,1000,true,true,false,false,6,4,110,80,15,.8,.65,.4,.7,.9,600,1.00,50,40,2,4,1024,1792,1024,2,true,true,BLOCK,704
7563,TableScan_Group,100000,8000000,192000000,0,2,true,none,true,false,true,true,60000000,true,true,1000,true,true,false,false,6,4,110,80,15,.8,.65,.4,.7,.9,600,1.00,50,40,2,4,1024,1792,1024,2,true,true,BLOCK,704
13193,TableScan_Group,4,8000000,192000000,3,2,true,none,true,false,true,true,60000000,true,true,1000,true,true,false,false,6,4,110,80,15,.8,.65,.4,.7,.9,600,1.00,50,40,2,4,1024,1792,1024,2,true,true,BLOCK,704
13153,TableScan_Group,3,8000000,192000000,3,2,true,none,true,false,true,true,60000000,true,true,1000,true,true,false,false,6,4,110,80,15,.8,.65,.4,.7,.9,600,1.00,50,40,2,4,1024,1792,1024,2,true,true,BLOCK,704
12897,TableScan_Select,2,8000000,192000000,1,2,true,none,true,false,true,true,60000000,true,true,1000,true,true,false,false,6,4,110,80,15,.8,.65,.4,.7,.9,600,1.00,50,40,2,4,1024,1792,1024,2,true,true,BLOCK,704
396.732,10
162766,TableScan_Join,154996355,20000000,448000000,17,3,true,none,false,true,true,false,70000000,false,true,600,false,false,false,true,12,8,150,100,20,.9,1.00,.3,.6,.1,800,.90,50,40,3,2,1664,1664,1408,3,false,true,BLOCK,958
25827,TableScan_Join,250025,20000000,448000000,17,3,true,none,false,true,true,false,70000000,false,true,600,false,false,false,true,12,8,150,100,20,.9,1.00,.3,.6,.1,800,.90,50,40,3,2,1664,1664,1408,3,false,true,BLOCK,958
19400,TableScan_Join,30,20000000,448000000,17,3,true,none,false,true,true,false,70000000,false,true,600,false,false,false,true,12,8,150,100,20,.9,1.00,.3,.6,.1,800,.90,50,40,3,2,1664,1664,1408,3,false,true,BLOCK,958
83785,TableScan_Join,15180000,20000000,448000000,17,3,true,none,false,true,true,false,70000000,false,true,600,false,false,false,true,12,8,150,100,20,.9,1.00,.3,.6,.1,800,.90,50,40,3,2,1664,1664,1408,3,false,true,BLOCK,958
35730,TableScan_Join,11394871,20000000,448000000,17,3,true,none,false,true,true,false,70000000,false,true,600,false,false,false,true,12,8,150,100,20,.9,1.00,.3,.6,.1,800,.90,50,40,3,2,1664,1664,1408,3,false,true,BLOCK,958
31566,TableScan_Join,3267468,20000000,448000000,17,3,true,none,false,true,true,false,70000000,false,true,600,false,false,false,true,12,8,150,100,20,.9,1.00,.3,.6,.1,800,.90,50,40,3,2,1664,1664,1408,3,false,true,BLOCK,958
30116,TableScan_Join,310462,20000000,448000000,17,3,true,none,false,true,true,false,70000000,false,true,600,false,false,false,true,12,8,150,100,20,.9,1.00,.3,.6,.1,800,.90,50,40,3,2,1664,1664,1408,3,false,true,BLOCK,958
20606,TableScan_Group,34,20000000,448000000,17,3,true,none,false,true,true,false,70000000,false,true,600,false,false,false,true,12,8,150,100,20,.9,1.00,.3,.6,.1,800,.90,50,40,3,2,1664,1664,1408,3,false,true,BLOCK,958
20863,TableScan_Group,19,20000000,448000000,17,3,true,none,false,true,true,false,70000000,false,true,600,false,false,false,true,12,8,150,100,20,.9,1.00,.3,.6,.1,800,.90,50,40,3,2,1664,1664,1408,3,false,true,BLOCK,958
14693,TableScan_Select,2,20000000,448000000,1,3,true,none,false,true,true,false,70000000,false,true,600,false,false,false,true,12,8,150,100,20,.9,1.00,.3,.6,.1,800,.90,50,40,3,2,1664,1664,1408,3,false,true,BLOCK,958
216.1,10
39690,TableScan_Join,3040000,4000000,448000000,1,4,true,ore,false,true,true,true,40000000,true,false,700,false,true,false,false,6,6,120,30,5,.6,.55,.4,.5,.4,1800,.35,70,40,2,2,1280,1536,1152,2,true,true,BLOCK,502
11869,TableScan_None,29999795,4000000,448000000,0,4,true,ore,false,true,true,true,40000000,true,false,700,false,true,false,false,6,6,120,30,5,.6,.55,.4,.5,.4,1800,.35,70,40,2,2,1280,1536,1152,2,true,true,BLOCK,502
7433,TableScan_None,50000,4000000,448000000,0,4,true,ore,false,true,true,true,40000000,true,false,700,false,true,false,false,6,6,120,30,5,.6,.55,.4,.5,.4,1800,.35,70,40,2,2,1280,1536,1152,2,true,true,BLOCK,502
7072,TableScan_None,25,4000000,448000000,0,4,true,ore,false,true,true,true,40000000,true,false,700,false,true,false,false,6,6,120,30,5,.6,.55,.4,.5,.4,1800,.35,70,40,2,2,1280,1536,1152,2,true,true,BLOCK,502
10465,TableScan_None,2277864,4000000,448000000,0,4,true,ore,false,true,true,true,40000000,true,false,700,false,true,false,false,6,6,120,30,5,.6,.55,.4,.5,.4,1800,.35,70,40,2,2,1280,1536,1152,2,true,true,BLOCK,502
8279,TableScan_Join,454139,4000000,448000000,0,4,true,ore,false,true,true,true,40000000,true,false,700,false,true,false,false,6,6,120,30,5,.6,.55,.4,.5,.4,1800,.35,70,40,2,2,1280,1536,1152,2,true,true,BLOCK,502
7618,TableScan_Group,50000,4000000,448000000,0,4,true,ore,false,true,true,true,40000000,true,false,700,false,true,false,false,6,6,120,30,5,.6,.55,.4,.5,.4,1800,.35,70,40,2,2,1280,1536,1152,2,true,true,BLOCK,502
12635,TableScan_Group,4,4000000,448000000,1,4,true,ore,false,true,true,true,40000000,true,false,700,false,true,false,false,6,6,120,30,5,.6,.55,.4,.5,.4,1800,.35,70,40,2,2,1280,1536,1152,2,true,true,BLOCK,502
13125,TableScan_Group,2,4000000,448000000,1,4,true,ore,false,true,true,true,40000000,true,false,700,false,true,false,false,6,6,120,30,5,.6,.55,.4,.5,.4,1800,.35,70,40,2,2,1280,1536,1152,2,true,true,BLOCK,502
12671,TableScan_Select,2,4000000,448000000,1,4,true,ore,false,true,true,true,40000000,true,false,700,false,true,false,false,6,6,120,30,5,.6,.55,.4,.5,.4,1800,.35,70,40,2,2,1280,1536,1152,2,true,true,BLOCK,502
415.637,7
175338,TableScan_Join,15180000,20000000,192000000,17,2,false,ore,false,true,true,true,100000000,false,true,800,false,false,true,false,4,6,110,20,20,.8,.70,.3,.9,.5,800,.40,30,60,1,2,2048,1664,1152,2,false,true,RECORD,978
152800,TableScan_Join,154996355,20000000,192000000,17,2,false,ore,false,true,true,true,100000000,false,true,800,false,false,true,false,4,6,110,20,20,.8,.70,.3,.9,.5,800,.40,30,60,1,2,2048,1664,1152,2,false,true,RECORD,978
16108,TableScan_None,11394866,20000000,192000000,0,2,false,ore,false,true,true,true,100000000,false,true,800,false,false,true,false,4,6,110,20,20,.8,.70,.3,.9,.5,800,.40,30,60,1,2,2048,1664,1152,2,false,true,RECORD,978
62924,TableScan_Join,2275933,20000000,192000000,0,2,false,ore,false,true,true,true,100000000,false,true,800,false,false,true,false,4,6,110,20,20,.8,.70,.3,.9,.5,800,.40,30,60,1,2,2048,1664,1152,2,false,true,RECORD,978
18203,TableScan_Group,60462,20000000,192000000,17,2,false,ore,false,true,true,true,100000000,false,true,800,false,false,true,false,4,6,110,20,20,.8,.70,.3,.9,.5,800,.40,30,60,1,2,2048,1664,1152,2,false,true,RECORD,978
20927,TableScan_Group,34,20000000,192000000,17,2,false,ore,false,true,true,true,100000000,false,true,800,false,false,true,false,4,6,110,20,20,.8,.70,.3,.9,.5,800,.40,30,60,1,2,2048,1664,1152,2,false,true,RECORD,978
14778,TableScan_Select,2,20000000,192000000,1,2,false,ore,false,true,true,true,100000000,false,true,800,false,false,true,false,4,6,110,20,20,.8,.70,.3,.9,.5,800,.40,30,60,1,2,2048,1664,1152,2,false,true,RECORD,978
363.065,9
133974,TableScan_Join,154996355,20000000,512000000,30,1,true,none,false,true,false,true,40000000,false,false,500,false,false,false,false,8,12,130,60,15,.6,.75,.4,.6,.4,900,.10,90,50,4,2,1152,1152,1792,2,false,true,BLOCK,348
147670,TableScan_Join,15180000,20000000,512000000,30,1,true,none,false,true,false,true,40000000,false,false,500,false,false,false,false,8,12,130,60,15,.6,.75,.4,.6,.4,900,.10,90,50,4,2,1152,1152,1792,2,false,true,BLOCK,348
7536,TableScan_None,250000,20000000,512000000,0,1,true,none,false,true,false,true,40000000,false,false,500,false,false,false,false,8,12,130,60,15,.6,.75,.4,.6,.4,900,.10,90,50,4,2,1152,1152,1792,2,false,true,BLOCK,348
6942,TableScan_None,25,20000000,512000000,0,1,true,none,false,true,false,true,40000000,false,false,500,false,false,false,false,8,12,130,60,15,.6,.75,.4,.6,.4,900,.10,90,50,4,2,1152,1152,1792,2,false,true,BLOCK,348
21601,TableScan_None,11394866,20000000,512000000,0,1,true,none,false,true,false,true,40000000,false,false,500,false,false,false,false,8,12,130,60,15,.6,.75,.4,.6,.4,900,.10,90,50,4,2,1152,1152,1792,2,false,true,BLOCK,348
47653,TableScan_Join,3267468,20000000,512000000,30,1,true,none,false,true,false,true,40000000,false,false,500,false,false,false,false,8,12,130,60,15,.6,.75,.4,.6,.4,900,.10,90,50,4,2,1152,1152,1792,2,false,true,BLOCK,348
8600,TableScan_Group,250000,20000000,512000000,0,1,true,none,false,true,false,true,40000000,false,false,500,false,false,false,false,8,12,130,60,15,.6,.75,.4,.6,.4,900,.10,90,50,4,2,1152,1152,1792,2,false,true,BLOCK,348
23316,TableScan_Group,4,20000000,512000000,30,1,true,none,false,true,false,true,40000000,false,false,500,false,false,false,false,8,12,130,60,15,.6,.75,.4,.6,.4,900,.10,90,50,4,2,1152,1152,1792,2,false,true,BLOCK,348
16881,TableScan_Select,2,20000000,512000000,1,1,true,none,false,true,false,true,40000000,false,false,500,false,false,false,false,8,12,130,60,15,.6,.75,.4,.6,.4,900,.10,90,50,4,2,1152,1152,1792,2,false,true,BLOCK,348
288.708,10
51455,TableScan_Join,6080000,8000000,128000000,9,4,true,none,false,false,true,true,30000000,false,true,600,true,false,false,true,4,6,130,60,20,.5,.60,.4,.9,.6,1500,.90,50,60,2,4,1408,1920,1920,2,true,false,RECORD,551
147855,TableScan_Join,61986052,8000000,128000000,9,4,true,none,false,false,true,true,30000000,false,true,600,true,false,false,true,4,6,130,60,20,.5,.60,.4,.9,.6,1500,.90,50,60,2,4,1408,1920,1920,2,true,false,RECORD,551
6796,TableScan_None,25,8000000,128000000,0,4,true,none,false,false,true,true,30000000,false,true,600,true,false,false,true,4,6,130,60,20,.5,.60,.4,.9,.6,1500,.90,50,60,2,4,1408,1920,1920,2,true,false,RECORD,551
11168,TableScan_None,100000,8000000,128000000,0,4,true,none,false,false,true,true,30000000,false,true,600,true,false,false,true,4,6,130,60,20,.5,.60,.4,.9,.6,1500,.90,50,60,2,4,1408,1920,1920,2,true,false,RECORD,551
18667,TableScan_None,4557513,8000000,128000000,0,4,true,none,false,false,true,true,30000000,false,true,600,true,false,false,true,4,6,130,60,20,.5,.60,.4,.9,.6,1500,.90,50,60,2,4,1408,1920,1920,2,true,false,RECORD,551
11705,TableScan_Join,910360,8000000,128000000,0,4,true,none,false,false,true,true,30000000,false,true,600,true,false,false,true,4,6,130,60,20,.5,.60,.4,.9,.6,1500,.90,50,60,2,4,1408,1920,1920,2,true,false,RECORD,551
7719,TableScan_Group,100000,8000000,128000000,0,4,true,none,false,false,true,true,30000000,false,true,600,true,false,false,true,4,6,130,60,20,.5,.60,.4,.9,.6,1500,.90,50,60,2,4,1408,1920,1920,2,true,false,RECORD,551
14829,TableScan_Group,4,8000000,128000000,9,4,true,none,false,false,true,true,30000000,false,true,600,true,false,false,true,4,6,130,60,20,.5,.60,.4,.9,.6,1500,.90,50,60,2,4,1408,1920,1920,2,true,false,RECORD,551
15211,TableScan_Group,3,8000000,128000000,9,4,true,none,false,false,true,true,30000000,false,true,600,true,false,false,true,4,6,130,60,20,.5,.60,.4,.9,.6,1500,.90,50,60,2,4,1408,1920,1920,2,true,false,RECORD,551
12892,TableScan_Select,2,8000000,128000000,1,4,true,none,false,false,true,true,30000000,false,true,600,true,false,false,true,4,6,130,60,20,.5,.60,.4,.9,.6,1500,.90,50,60,2,4,1408,1920,1920,2,true,false,RECORD,551
240.605,10
50184,TableScan_Join,6080000,8000000,256000000,19,3,false,inial,true,false,true,true,60000000,false,false,500,false,true,false,false,4,8,140,30,10,1.0,.50,.4,.5,.6,1700,.80,20,60,1,4,1408,1920,1024,3,true,true,RECORD,703
