q,d,d,d,q,d,q,d,d,d,d,d,d,q,q,q,q,q,d,d,d,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,q,d,d,d,q,q,q,q,d
0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
709.987,8
56889,TableScan_Join,18950000,40000000,320000000,7,2,false,ore,true,false,true,false,80000000,true,true,500,false,true,false,false,2,4,120,40,10,.8,.65,.5,.7,.6,800,.35,50,50,1,3,1024,1152,1280,2,false,true,RECORD,892
21846,TableScan_Join,30,40000000,320000000,7,2,false,ore,true,false,true,false,80000000,true,true,500,false,true,false,false,2,4,120,40,10,.8,.65,.5,.7,.6,800,.35,50,50,1,3,1024,1152,1280,2,false,true,RECORD,892
21496,TableScan_Join,500005,40000000,320000000,7,2,false,ore,true,false,true,false,80000000,true,true,500,false,true,false,false,2,4,120,40,10,.8,.65,.5,.7,.6,800,.35,50,50,1,3,1024,1152,1280,2,false,true,RECORD,892
459809,TableScan_Join,311379090,40000000,320000000,7,2,false,ore,true,false,true,false,80000000,true,true,500,false,true,false,false,2,4,120,40,10,.8,.65,.5,.7,.6,800,.35,50,50,1,3,1024,1152,1280,2,false,true,RECORD,892
87676,TableScan_Join,45595917,40000000,320000000,7,2,false,ore,true,false,true,false,80000000,true,true,500,false,true,false,false,2,4,120,40,10,.8,.65,.5,.7,.6,800,.35,50,50,1,3,1024,1152,1280,2,false,true,RECORD,892
17322,TableScan_Group,362844,40000000,320000000,7,2,false,ore,true,false,true,false,80000000,true,true,500,false,true,false,false,2,4,120,40,10,.8,.65,.5,.7,.6,800,.35,50,50,1,3,1024,1152,1280,2,false,true,RECORD,892
14917,TableScan_Group,35,40000000,320000000,7,2,false,ore,true,false,true,false,80000000,true,true,500,false,true,false,false,2,4,120,40,10,.8,.65,.5,.7,.6,800,.35,50,50,1,3,1024,1152,1280,2,false,true,RECORD,892
12893,TableScan_Select,5,40000000,320000000,1,2,false,ore,true,false,true,false,80000000,true,true,500,false,true,false,false,2,4,120,40,10,.8,.65,.5,.7,.6,800,.35,50,50,1,3,1024,1152,1280,2,false,true,RECORD,892
412.539,8
253955,TableScan_Join,62276052,8000000,384000000,1,2,true,inial,false,true,true,true,40000000,true,true,600,true,false,false,true,2,10,100,80,10,.5,.75,.3,.5,.7,1500,.20,50,60,4,2,1408,1920,1920,3,false,false,RECORD,425
10122,TableScan_None,25,8000000,384000000,0,2,true,inial,false,true,true,true,40000000,true,true,600,true,false,false,true,2,10,100,80,10,.5,.75,.3,.5,.7,1500,.20,50,60,4,2,1408,1920,1920,3,false,false,RECORD,425
12013,TableScan_None,100000,8000000,384000000,0,2,true,inial,false,true,true,true,40000000,true,true,600,true,false,false,true,2,10,100,80,10,.5,.75,.3,.5,.7,1500,.20,50,60,4,2,1408,1920,1920,3,false,false,RECORD,425
33470,TableScan_None,9108027,8000000,384000000,0,2,true,inial,false,true,true,true,40000000,true,true,600,true,false,false,true,2,10,100,80,10,.5,.75,.3,.5,.7,1500,.20,50,60,4,2,1408,1920,1920,3,false,false,RECORD,425
20817,TableScan_Join,3307285,8000000,384000000,1,2,true,inial,false,true,true,true,40000000,true,true,600,true,false,false,true,2,10,100,80,10,.5,.75,.3,.5,.7,1500,.20,50,60,4,2,1408,1920,1920,3,false,false,RECORD,425
12554,TableScan_Group,5,8000000,384000000,1,2,true,inial,false,true,true,true,40000000,true,true,600,true,false,false,true,2,10,100,80,10,.5,.75,.3,.5,.7,1500,.20,50,60,4,2,1408,1920,1920,3,false,false,RECORD,425
12689,TableScan_Group,5,8000000,384000000,1,2,true,inial,false,true,true,true,40000000,true,true,600,true,false,false,true,2,10,100,80,10,.5,.75,.3,.5,.7,1500,.20,50,60,4,2,1408,1920,1920,3,false,false,RECORD,425
11749,TableScan_Select,5,8000000,384000000,1,2,true,inial,false,true,true,true,40000000,true,true,600,true,false,false,true,2,10,100,80,10,.5,.75,.3,.5,.7,1500,.20,50,60,4,2,1408,1920,1920,3,false,false,RECORD,425
248.122,8
